id,user_id,user_name,vendor_id,vendor_name,category_id,category_name,catalog,qty,desc,unitprice,unit,link,orderdate,receiptdate,comment,location
1565,7,hpark,37,Cole-Parmer,6,Lab consumables,EW-06419-01,3,"Tygon microbore tubing, 0.020"" x 0.060""OD, 100 ft/roll",57.20,roll,http://www.coleparmer.com/Product/Tygon_microbore_tubing_0_020_x_0_060_OD_100_ft_roll/EW-06419-01,2019-12-13,2019-12-20,,http://www.coleparmer.com/Product/Tygon_microbore_
1566,7,hpark,48,Medline,6,Lab consumables,B-D302995Z,2,10ml Luer lock syringes,23.75,pack of 200,http://www.medline.com/product/Sterile-Luer-Lok-Tip-Syringe-by-Becton-Dickinson/Z05-PF33982,2019-12-13,2019-12-19,,187
1567,22,pnugent,12,USA Scientific,6,Lab consumables,1110-3700,10,0.1-10/20 ul XL TipOne natural tip wafers,21.10,10 wafers of 96 tips,http://www.usascientific.com/10ul-tipone-elongated-wafers.aspx,2019-12-15,2019-12-19,,3
1568,22,pnugent,12,USA Scientific,6,Lab consumables,1110-1700,10,200 ul TipOne Profile graduated tip wafers,18.25,10 wafers of 96 tips,http://www.usascientific.com/200ul-tipone-graduated-wafers.aspx,2019-12-15,2019-12-19,,6
1569,22,pnugent,12,USA Scientific,6,Lab consumables,1112-1720,10,1250 ul XL TipOne natural tip wafers,23.25,10 wafers of 96 tips,http://www.usascientific.com/1250ul-tipone-wafers-2.aspx,2019-12-15,2019-12-19,,9
1570,7,hpark,4,NEB,7,Enzymes,R3733S,3,BsaI-HFv2,61.20,50 rxns,https://www.neb.com/products/r3733-bsai-hf-v2,2019-12-15,2019-12-17,for golden gate assembly,Restriction enzymes box 2 in -20	
1571,7,hpark,17,Life Technologies,7,Enzymes,FD0454,2,FastDigest Esp3I (BsmBI),73.20,20 rxns,https://www.thermofisher.com/order/catalog/product/FD0454,2019-12-15,2019-12-24,,Restriction enzymes box 2 in -20	
1572,22,pnugent,62,Lonza,5,Chemicals,VACA-1003,1,Cell Line Nucleofector Kit V,184.72,10 rxns,https://bioscience.lonza.com/lonza_bs/US/en/Transfection/p/000000000000193062/Cell-Line-Nucleofector-Kit-V,2019-12-16,2019-12-19,,TC room
1573,26,kchen,3,Bio-Rad,6,Lab consumables,2239955,1,Semimicrovolume Disposable Polystyrene Cuvettes,10.25,pkg of 100,http://www.bio-rad.com/prd/en/US/adirect/biorad?ts=1&cmd=BRB2BCatgProductDetail&catID=0381364e-7120-4326-8eac-e588ebf5150b,2019-12-16,2019-12-16,,9
1574,7,hpark,9,Fisher,7,Enzymes,FD1704,2,FastDigest DpnI 100 reactions,63.81,ea,https://www.thermofisher.com/order/catalog/product/FD1703,2019-12-17,2019-12-26,,
1575,7,hpark,17,Life Technologies,7,Enzymes,FD0274,1,FastDigest EcoRI,52.10,800 ul,https://www.fishersci.com/shop/products/fermentas-fastdigest-ecori/ferfd0274#?keyword=FD0274,2019-12-17,2019-12-31,,
1576,23,yzhao,12,USA Scientific,6,Lab consumables,1122-1730,3,"1000 ul XL TipOne filter tip refill cassette, sterile",46.75,1000 tips,http://www.usascientific.com/1000ul-tipone-xl-filter-tip-cassette.aspx,2019-12-18,2019-12-23,,5
1577,23,yzhao,4,NEB,2,Mol Bio Consumables,N3233S,1,Low Molecular Weight DNA Ladder,60.30,ea,https://www.neb.com/products/n3233-low-molecular-weight-dna-ladder,2019-12-18,2019-12-30,,common -20
1578,23,yzhao,4,NEB,2,Mol Bio Consumables,N3232L,1,"1 kb DNA Ladder - 1,000 gel lanes",191.70,ea,https://www.neb.com/products/n3232-1-kb-dna-ladder,2019-12-18,2020-01-02,,common freezer gel ladder box
1579,22,pnugent,62,Lonza,5,Chemicals,VCA-1003,1,Cell Line Nucleofector Kit V,399.44,25 rxns,https://bioscience.lonza.com/lonza_bs/US/en/Transfection/p/000000000000193062/Cell-Line-Nucleofector-Kit-V,2019-12-19,2020-01-02,,TC room
1580,7,hpark,13,Genesee Scientific,3,Equipment, F-45-24-11,1,"Lid for 5415 24 x 2ml Rotor, For Rotor F-45-24-11",62.53,each,https://geneseesci.com/shop-online/search?s=+F-45-24-11,2019-12-20,2019-12-30,It is for HPark's microcentrifuge,
1581,23,yzhao,9,Fisher,6,Lab consumables,FB0875713,4,"Dish, Petri; Fisherbrand; Slippable, beveled ridge; 100 x 15mm; Polystyrene; Redesigned packaging (outer carton, strong polymer vacuum sealed sleeves) prevent scuffing and breakage; Inner sleeves feat",48.49,case,https://www.fishersci.com/externalappproductdisplay?catnum=FB0875713&catalogId=&isChemical=false&langId=-1&storeId=10652&isItem=Yes,2019-12-27,2019-12-31,,4
1582,23,yzhao,9,Fisher,1,Labware,1495970C,1,Falcon 15mL Conical Centrifuge Tubes,100.78,case of 500,http://www.fishersci.com/itemdetail?catnum=1495970C,2019-12-27,2020-01-13,,8
1583,23,yzhao,9,Fisher,1,Labware,1495949A,1,Falcon 50mL Conical Centrifuge Tubes,80.15,case of 500,http://www.fishersci.com/itemdetail?catnum=1495949A,2019-12-27,2020-01-06,,9
1584,23,yzhao,13,Genesee Scientific,6,Lab consumables,28-123,1,"25ml Divided Reagent Reservoir, Bulk, Sterile",49.60,case of 100,https://geneseesci.com/shop-online/product-details/?product=28-123,2019-12-27,2020-01-06,,22
1585,22,pnugent,9,Fisher,5,Chemicals,PRN1620,1,Promega Nano-Glo Dual-Luciferase Reporter Assay System,1372.50,100 ml,https://www.fishersci.com/shop/products/nano-glo-r-dlr-asy-100ml/prn1620,2019-12-30,2020-01-03,Used quote 9364-3167-83. Contact PN before reorder,267
1586,23,yzhao,9,Fisher,6,Lab consumables,FB0875713,4,"Dish, Petri; Fisherbrand; Slippable, beveled ridge; 100 x 15mm; Polystyrene; Redesigned packaging (outer carton, strong polymer vacuum sealed sleeves) prevent scuffing and breakage; Inner sleeves feat",48.49,case,https://www.fishersci.com/externalappproductdisplay?catnum=FB0875713&catalogId=&isChemical=false&langId=-1&storeId=10652&isItem=Yes,2019-12-27,2019-12-31,duplicated entry. Need to delete,4
1587,23,yzhao,9,Fisher,6,Lab consumables,1367811E,2,"10ml sterile disposable pipettes, polystyrene",18.18,case of 200,http://www.fishersci.com/itemdetail?catnum=1367811D,2019-12-31,2020-01-10,,26
1588,23,yzhao,13,Genesee Scientific,2,Mol Bio Consumables,88-343,8,UPrep® Micro Spin Columns (extra 5ug columns),28.55,50 columns,https://geneseesci.com/shop-online/product-details/?product=88-343,2019-12-31,2020-01-08,,21
1589,23,yzhao,13,Genesee Scientific,2,Mol Bio Consumables,88-143,5,UPrep® Spin Columns (extra miniprep columns),25.30,50 columns,https://geneseesci.com/shop-online/product-details/?product=88-143,2019-12-31,2020-01-08,,21
1590,1,rasi,69,"THOMAS SCIENTIFIC, INC",11,office supplies,PX0163,1,StarTech.com USB 3.0 to Gigabit Ethernet NIC Network,21.58,ea,https://www.startech.com/Networking-IO/usb-network-adapters/USB-3-to-Gigabit-Ethernet-NIC-Network-Adapter~USB31000S,2020-01-01,2020-05-23,for rasi's laptop,rasi's office
1591,22,pnugent,9,Fisher,7,Enzymes,EN0561,1,Thermo Scientific Lambda exonuclease,70.47,1000 U,https://www.thermofisher.com/order/catalog/product/EN0562?SID=srch-hj-en0562#/EN0562?SID=srch-hj-en0562,2020-01-01,2020-01-03,,267
1592,22,pnugent,2,VWR,7,Enzymes,76081-726,1,"Hybridase™ Thermostable RNase H, RNA Digestion in RNA:DNA Hybrids, Lucigen / Epicentre - H39500, 500 units",342.59,500 units,https://us.vwr.com/store/product/22371879/hybridasetm-thermostable-rnase-h-rna-digestion-in-rna-dna-hybrids-biosearch-technologies,2020-01-01,2020-01-03,,267
1593,14,pburke,9,Fisher,6,Lab consumables,08100240,1,"Cell Lifter / Scraper, Fisherbrand, Individually wrapped, 100/CS",98.79,case of 100,https://www.fishersci.com/itemdetail?catnum=08100240,2020-01-03,2020-01-07,,cell culture and 175
1594,7,hpark,9,Fisher,7,Enzymes,FERFD0644,1, FastDigest SalI,57.92,200ul,https://www.thermofisher.com/order/catalog/product/FD0644,2020-01-08,2020-01-10,,
1595,7,hpark,17,Life Technologies,7,Enzymes,FD0454,2,FastDigest Esp3I (BsmBI),72.13,20 rxns,https://www.thermofisher.com/order/catalog/product/FD0454,2020-01-08,2020-01-10,,Restriction enzymes box 2 in -20	
1596,7,hpark,34,World Precision Instruments,6,Lab consumables,504529,5,"Reusable Biopsy Punch, size 0.75mm",9.00,each,https://www.wpiinc.com/index.php?xsearch_id=products_search_all&src=directory&srctype=lister&view=products&submenu=labsupplies&xsearch[0]=Reusable+Biopsy+Punch&submit=go,2020-01-08,2020-01-14,,140
1597,22,pnugent,9,Fisher,6,Lab consumables,19177522,1,Microflex XCEED Powder-Free Nitrile Exam Gloves; Medium,136.65,case of 10 250-glove boxes,http://www.fishersci.com/itemdetail?catnum=19177522,2020-01-10,2020-01-14,,52
1598,22,pnugent,9,Fisher,6,Lab consumables,19177523,1,Microflex XCEED Powder-Free Nitrile Exam Gloves; Large,136.65,case of 10 250-glove boxes,http://www.fishersci.com/itemdetail?catnum=19177523,2020-01-10,2020-01-14,,52
1599,22,pnugent,9,Fisher,6,Lab consumables,14-206-62,1,absorbent underpads,50.12,50 pack,https://www.fishersci.com/shop/products/fisherbrand-absorbent-underpads-8/p-306048,2020-01-11,2020-01-14,,78
1600,14,pburke,14,Sigma Aldrich,5,Chemicals,51280-1G	,1,"Hemin, BioXtra, from Porcine, 97.0% (HPLC)",56.40,1 g,https://www.sigmaaldrich.com/catalog/product/sigma/c7698?lang=en&region=US,2020-01-13,2020-01-17,,
